,index,key,score,total_mentions
0,2210,alone combination,106.55789473684283,191.0
1,3303,ligament acl,46.666666666666494,224.0
2,1940,disease characterized,39.25925925925925,212.0
3,2795,tomography used,38.26666666666693,164.0
4,2496,tested whether,37.592592592592446,203.0
5,2164,patients male,35.14626865671653,406.0
6,3755,breast imaging,33.81104294478545,332.0
7,3580,patients suspected,33.29126213592201,762.0
8,100,widely available,31.909090909090455,135.0
9,2194,acoustic radiation,31.048780487804812,201.0
10,1674,mitral regurgitation,30.793911007025812,487.0
11,285,body surface,30.500000000000192,305.0
12,1784,investigate potential,29.190909090908985,169.0
13,1820,much higher,27.63529411764672,243.0
14,332,vessel disease,26.87445887445887,320.0
15,1851,recurrence rate,26.39999999999986,231.0
16,918,patients women,25.24285714285718,279.0
17,3192,aortic regurgitation,23.629239766081874,227.0
18,1655,ventricular hypertrophy,23.588679245282922,266.0
19,1107,patients ra,23.41935483870965,220.0
20,170,amino acid,21.410367170626234,431.0
21,1518,prospective observational,20.89122807017533,458.0
22,2810,radiation force,20.211320754716905,206.0
23,399,records patients,18.899999999999853,378.0
24,188,investigated effects,18.600000000000023,217.0
25,975,angiography performed,18.16410256410237,154.0
26,2165,unknown whether,17.344444444444413,223.0
27,1506,frontal cortex,15.441328413284053,427.0
28,2395,revealed presence,14.666666666666673,220.0
29,2330,plays crucial,14.599999999999907,146.0
30,870,right atrium,14.464285714285758,225.0
31,3288,cell viability,14.450162866449645,541.0
32,1367,patients experienced,13.887627365356641,536.0
33,2880,endovascular treatment,13.458306188925068,523.0
34,2463,staphylococcus aureus,13.33750000000007,388.0
35,35,even though,13.28985507246382,393.0
36,1577,anterior posterior,13.160574948665309,654.0
37,301,patients multiple,13.159259259259224,323.0
38,856,transthoracic echocardiography,13.144010767160196,514.0
39,830,data regarding,13.128089887640396,254.0
40,866,real data,12.365517241379274,163.0
41,641,inversely associated,12.333333333333279,185.0
42,1228,left ventricular,12.077654859015965,4516.0
43,226,groups however,12.055555555555529,217.0
44,3430,patients including,11.967741935483971,318.0
45,1899,long term,11.96610169491522,353.0
46,2882,epithelial cell,11.739130434782576,150.0
47,339,spearman rank,11.676422764227592,167.0
48,568,chronic liver,11.651162790697601,167.0
49,3503,default mode,11.63654485049832,633.0
50,2822,used detect,11.096774193548354,344.0
51,1743,found groups,10.977272727272673,161.0
52,2351,suspected coronary,10.870588235294122,132.0
53,2532,cataract surgery,10.709762532981529,205.0
54,2073,energy dispersive,10.645161290322573,275.0
55,1250,still unknown,10.579591836734684,162.0
56,1334,validated using,10.547368421052653,167.0
57,1002,cell death,10.50310077519373,797.0
58,2385,associated greater,10.415709969788567,442.0
59,1619,coronary arteries,10.177730192719533,679.0
