,index,key,score,total_mentions
0,630,"('infarction', 'mi')",[74.28571429],300.0
1,2351,"('mortality', 'morbidity')",[71.93333333],166.0
2,1101,"('young', 'adults')",[62.4],624.0
3,2885,"('cerebral', 'perfusion')",[53.81860465],203.0
4,2562,"('patients', 'receiving')",[52.90277778],586.0
5,3406,"('analysis', 'results')",[52.33548387],208.0
6,3411,"('duplex', 'ultrasound')",[38.26490066],270.0
7,1327,"('trend', 'toward')",[35.11363636],309.0
8,139,"('functional', 'status')",[31.85],196.0
9,2924,"('excluded', 'patients')",[29.],145.0
10,3153,"('fractional', 'flow')",[28.52238806],273.0
11,387,"('records', 'patients')",[28.19090909],443.0
12,2405,"('malignant', 'lesions')",[26.74375],389.0
13,1461,"('treatment', 'strategy')",[26.67093596],253.0
14,1662,"('late', 'gadolinium')",[23.81875],309.0
15,1730,"('aortic', 'aneurysms')",[23.50447761],254.0
16,865,"('performed', 'cases')",[22.5],225.0
17,296,"('single', 'institution')",[22.14576271],278.0
18,1657,"('largely', 'unknown')",[21.71654676],351.0
19,1117,"('signs', 'symptoms')",[18.90465632],290.0
20,839,"('transthoracic', 'echocardiography')",[17.03414634],582.0
21,656,"('regions', 'including')",[16.975],194.0
22,1436,"('provide', 'important')",[16.79240506],201.0
23,1349,"('cognitive', 'deficits')",[16.69345794],229.0
24,3162,"('vessel', 'diameter')",[16.53432836],191.0
25,2707,"('patients', 'early')",[16.48636364],351.0
26,3466,"('least', 'years')",[16.37777778],201.0
27,2817,"('weeks', 'later')",[15.9],159.0
28,2192,"('renal', 'artery')",[15.33197279],382.0
29,2363,"('patients', 'chronic')",[14.30992366],721.0
30,2763,"('rv', 'function')",[14.23519553],307.0
31,1089,"('ventricular', 'rv')",[14.14644351],345.0
32,2687,"('women', 'aged')",[14.09703872],319.0
33,3484,"('adverse', 'cardiovascular')",[13.69824561],192.0
34,1250,"('patients', 'presented')",[13.13139013],681.0
35,3387,"('analyses', 'used')",[13.],182.0
36,3198,"('acl', 'reconstruction')",[12.92612137],355.0
37,1516,"('tomography', 'angiography')",[12.71860902],953.0
38,1953,"('chest', 'wall')",[12.6],243.0
39,2375,"('microcomputed', 'tomography')",[12.21111111],157.0
40,1853,"('membrane', 'potential')",[12.07045455],226.0
41,2344,"('ischemic', 'stroke')",[12.01643836],1462.0
42,1630,"('analyzed', 'patients')",[11.90322581],369.0
43,313,"('patients', 'control')",[11.61705426],381.0
44,693,"('stent', 'grafts')",[11.43703704],193.0
45,2022,"('retrospective', 'chart')",[11.34405145],280.0
46,1626,"('injury', 'tbi')",[11.31056911],188.0
47,2740,"('strain', 'gls')",[11.06666667],166.0
48,3527,"('fiber', 'layer')",[11.00490196],449.0
49,1915,"('studies', 'confirmed')",[10.83728814],139.0
50,1583,"('nerve', 'head')",[10.81818182],170.0
51,3638,"('rotator', 'cuff')",[10.79245283],715.0
52,91,"('widely', 'available')",[10.74210526],157.0
53,1633,"('subjects', 'aged')",[10.64516129],150.0
54,1901,"('weeks', 'range')",[10.54871795],121.0
55,3468,"('reserve', 'ffr')",[10.47042254],177.0
56,1389,"('gadolinium', 'enhancement')",[10.29207921],315.0
57,2443,"('confocal', 'microscopy')",[10.10142045],1147.0
58,316,"('vascular', 'access')",[9.96432247],282.0
59,1204,"('prefrontal', 'cortex')",[9.86988892],1847.0
60,2358,"('cell', 'morphology')",[9.69257951],211.0
61,69,"('using', 'multivariate')",[9.66315789],153.0
62,2099,"('patients', 'male')",[9.62222222],433.0
63,2593,"('temporal', 'lobe')",[9.53588365],914.0
64,2314,"('de', 'novo')",[9.26086957],497.0
65,293,"('consisted', 'patients')",[9.0501548],232.0
66,1404,"('independent', 'predictors')",[9.03601242],891.0
67,1366,"('females', 'mean')",[8.76113744],237.0
68,2793,"('aortic', 'repair')",[8.65743945],278.0
69,1545,"('characterized', 'using')",[8.65217391],199.0
70,951,"('coronary', 'intervention')",[8.60930774],961.0
