INFO:root:Scraping for search term tomography
INFO:root:Scraping for search term tomography
INFO:root:Scraping for search term tomography
INFO:root:Scraping for search term tomography
INFO:root:Scraping for search term ventricular dysfunction
INFO:root:Scraping for search term tomography
INFO:root:Scraping for search term tomography
INFO:root:Adding one toneural networknew mentions total35.0
INFO:root:Adding one tobreast cancernew mentions total321.0
INFO:root:Adding one toneural networksnew mentions total24.0
INFO:root:Adding one toliver lesionsnew mentions total16.0
INFO:root:Adding one toneural networknew mentions total36.0
INFO:root:Adding one toneural networksnew mentions total25.0
INFO:root:Adding one toearly detectionnew mentions total53.0
INFO:root:Adding one tolung diseasenew mentions total33.0
INFO:root:Adding one togreat potentialnew mentions total25.0
INFO:root:Adding one toimaging systemnew mentions total40.0
INFO:root:Adding one tohuman bodynew mentions total17.0
INFO:root:Adding one toimaging techniquenew mentions total50.0
INFO:root:Adding one tocontrast agentsnew mentions total43.0
INFO:root:Adding one tofirst stepnew mentions total22.0
INFO:root:Adding one tocontrast agentnew mentions total58.0
INFO:root:Adding one tomouse modelnew mentions total37.0
INFO:root:Adding one tophase contrastnew mentions total18.0
INFO:root:Adding one toadditional informationnew mentions total22.0
INFO:root:Adding one toradiation dosenew mentions total127.0
INFO:root:Adding one tovarious typesnew mentions total14.0
INFO:root:Adding one towell understoodnew mentions total14.0
INFO:root:Adding one toimaging techniquenew mentions total51.0
INFO:root:Adding one toimaging systemnew mentions total41.0
INFO:root:Adding one tocomputer tomographynew mentions total17.0
INFO:root:Adding one torecent advancesnew mentions total34.0
INFO:root:Adding one toexisting methodsnew mentions total10.0
INFO:root:Adding one tolarge numbernew mentions total23.0
INFO:root:Adding one toneural networknew mentions total37.0
INFO:root:Adding one toneural networksnew mentions total26.0
INFO:root:Adding one tomean squarenew mentions total13.0
INFO:root:Adding one tofirst stepnew mentions total23.0
INFO:root:Adding one topathological changesnew mentions total18.0
INFO:root:Adding one toneural networknew mentions total38.0
INFO:root:Adding one tolung diseasenew mentions total34.0
INFO:root:Adding one toneural networksnew mentions total27.0
INFO:root:Adding one torecently proposednew mentions total11.0
INFO:root:Adding one tonovel approachnew mentions total21.0
INFO:root:Adding one tovarious typesnew mentions total15.0
INFO:root:Adding one toet alnew mentions total37.0
INFO:root:Adding one topaper proposenew mentions total18.0
INFO:root:Adding one totime pointnew mentions total25.0
INFO:root:Adding one toneural networknew mentions total39.0
INFO:root:Adding one toneural networksnew mentions total28.0
INFO:root:Adding one toet alnew mentions total38.0
INFO:root:Adding one towell understoodnew mentions total15.0
INFO:root:Adding one tonew insightsnew mentions total19.0
INFO:root:Adding one toshed lightnew mentions total15.0
INFO:root:Adding one togeneral linearnew mentions total8.0
INFO:root:Adding one tolarge numbernew mentions total28.0
INFO:root:Adding one toneural networknew mentions total28.0
INFO:root:Adding one tomild cognitive impairmentnew mentions total36.0
INFO:root:Adding one tocognitive declinenew mentions total22.0
INFO:root:Adding one tobreast cancernew mentions total309.0
INFO:root:Adding one toionizing radiationnew mentions total30.0
INFO:root:Adding one toradiation dosenew mentions total118.0
INFO:root:Adding one todose reductionnew mentions total24.0
INFO:root:Adding one tocomputer tomographynew mentions total14.0
INFO:root:Adding one toneural networknew mentions total29.0
INFO:root:Adding one toneural networksnew mentions total18.0
INFO:root:Adding one toneural networknew mentions total30.0
INFO:root:Adding one tobreast cancernew mentions total310.0
INFO:root:Adding one toneural networksnew mentions total19.0
INFO:root:Adding one toliver lesionsnew mentions total13.0
INFO:root:Adding one toneural networknew mentions total31.0
INFO:root:Adding one toneural networksnew mentions total20.0
INFO:root:Adding one toearly detectionnew mentions total48.0
INFO:root:Adding one tolung diseasenew mentions total28.0
INFO:root:Adding one togreat potentialnew mentions total25.0
INFO:root:Adding one toimaging systemnew mentions total46.0
INFO:root:Adding one tohuman bodynew mentions total17.0
INFO:root:Adding one toimaging techniquenew mentions total46.0
INFO:root:Adding one tocontrast agentsnew mentions total48.0
INFO:root:Adding one tofirst stepnew mentions total21.0
INFO:root:Adding one tocontrast agentnew mentions total53.0
INFO:root:Adding one tomouse modelnew mentions total43.0
INFO:root:Adding one tophase contrastnew mentions total20.0
INFO:root:Adding one toadditional informationnew mentions total21.0
INFO:root:Adding one toradiation dosenew mentions total119.0
INFO:root:Adding one tovarious typesnew mentions total9.0
INFO:root:Adding one towell understoodnew mentions total14.0
INFO:root:Adding one toimaging techniquenew mentions total47.0
INFO:root:Adding one toimaging systemnew mentions total47.0
INFO:root:Adding one tocomputer tomographynew mentions total15.0
INFO:root:Adding one torecent advancesnew mentions total33.0
INFO:root:Adding one toexisting methodsnew mentions total7.0
INFO:root:Adding one tolarge numbernew mentions total29.0
INFO:root:Adding one toneural networknew mentions total32.0
INFO:root:Adding one toneural networksnew mentions total21.0
INFO:root:Adding one tomean squarenew mentions total13.0
INFO:root:Adding one toet alnew mentions total38.0
INFO:root:Adding one towell understoodnew mentions total15.0
INFO:root:Adding one tonew insightsnew mentions total18.0
INFO:root:Adding one tolarge numbernew mentions total26.0
INFO:root:Adding one tolumbar spinenew mentions total48.0
INFO:root:Adding one toimaging techniquesnew mentions total83.0
INFO:root:Adding one toimaging techniquenew mentions total47.0
INFO:root:Adding one totemporal resolutionnew mentions total12.0
INFO:root:Adding one towell knownnew mentions total23.0
INFO:root:Adding one topaper proposenew mentions total15.0
INFO:root:Adding one toaortic valve replacementnew mentions total34.0
INFO:root:Adding one toascending aortanew mentions total39.0
INFO:root:Adding one toshed lightnew mentions total13.0
INFO:root:Adding one tomajor challengenew mentions total10.0
INFO:root:Adding one togeneral linearnew mentions total8.0
INFO:root:Adding one tolarge numbernew mentions total27.0
INFO:root:Adding one toneural networknew mentions total25.0
INFO:root:Adding one tomild cognitive impairmentnew mentions total52.0
INFO:root:Adding one tocognitive declinenew mentions total26.0
INFO:root:Adding one tobreast cancernew mentions total276.0
INFO:root:Adding one toionizing radiationnew mentions total36.0
INFO:root:Adding one toradiation dosenew mentions total111.0
INFO:root:Adding one todose reductionnew mentions total21.0
INFO:root:Adding one tocomputer tomographynew mentions total15.0
INFO:root:Adding one toneural networknew mentions total26.0
INFO:root:Adding one toneural networksnew mentions total17.0
INFO:root:Adding one toneural networknew mentions total27.0
INFO:root:Adding one tobreast cancernew mentions total277.0
INFO:root:Adding one toneural networksnew mentions total18.0
INFO:root:Adding one toliver lesionsnew mentions total15.0
INFO:root:Adding one toneural networknew mentions total28.0
INFO:root:Adding one toneural networksnew mentions total19.0
INFO:root:Adding one toearly detectionnew mentions total53.0
INFO:root:Adding one tolung diseasenew mentions total43.0
INFO:root:Adding one togreat potentialnew mentions total24.0
INFO:root:Adding one toimaging systemnew mentions total49.0
INFO:root:Adding one tohuman bodynew mentions total19.0
INFO:root:Adding one toimaging techniquenew mentions total48.0
INFO:root:Adding one toet alnew mentions total39.0
INFO:root:Adding one toet alnew mentions total40.0
INFO:root:Adding one towell understoodnew mentions total13.0
INFO:root:Adding one tonew insightsnew mentions total18.0
INFO:root:Adding one torecent advancesnew mentions total42.0
INFO:root:Adding one toreview discussnew mentions total11.0
INFO:root:Adding one toquantitative imagingnew mentions total8.0
INFO:root:Adding one towhole bodynew mentions total16.0
INFO:root:Adding one tohuman bodynew mentions total13.0
INFO:root:Adding one toradiation dosenew mentions total78.0
INFO:root:Adding one tochronic obstructive pulmonary diseasenew mentions total22.0
INFO:root:Adding one topulmonary function testsnew mentions total22.0
INFO:root:Adding one toanalysis identifiednew mentions total23.0
INFO:root:Adding one tomass spectrometrynew mentions total29.0
INFO:root:Adding one totumor responsenew mentions total23.0
INFO:root:Adding one tolarge numbernew mentions total22.0
INFO:root:Adding one tolumbar spinenew mentions total48.0
INFO:root:Adding one toimaging techniquesnew mentions total86.0
INFO:root:Adding one toimaging techniquenew mentions total47.0
INFO:root:Adding one totemporal resolutionnew mentions total25.0
INFO:root:Adding one towell knownnew mentions total20.0
INFO:root:Adding one topaper proposenew mentions total8.0
INFO:root:Adding one toaortic valve replacementnew mentions total20.0
INFO:root:Adding one toascending aortanew mentions total20.0
